UserId,ConditionId,ConditionName,Condition,TZ,TimeStart,TimeEnd,TimeElapsed,t1age,t1Company,t1own_edu,t1own_edu_Index,t1parental_edu,t1parental_edu_Index,t1PlaceOfWork,t1PlaceOfWork_Index,t1sex,t1sex_Index,t1BigFive1,t1BigFive2,t1BigFive3,t1BigFive4,t1BigFive5,t1BigFive6,t1BigFive7,t1BigFive8,t1BigFive9,t1BigFive10,t1BMPN1,t1BMPN2,t1BMPN3,t1BMPN4,t1BMPN5,t1BMPN6,t1BMPN7,t1BMPN8,t1BMPN9,t1BMPN10,t1BMPN11,t1BMPN12,t1BMPN13,t1BMPN14,t1BMPN15,t1BMPN16,t1BMPN17,t1BMPN18,t1CHIPS1,t1CHIPS2,t1CHIPS3,t1CHIPS4,t1CHIPS5,t1CHIPS6,t1CHIPS7,t1CHIPS8,t1CHIPS9,t1CHIPS10,t1CHIPS11,t1CHIPS12,t1CHIPS13,t1CHIPS14,t1CHIPS15,t1CHIPS16,t1CHIPS17,t1CHIPS18,t1CHIPS19,t1CHIPS20,t1CHIPS21,t1CHIPS22,t1CHIPS23,t1CHIPS24,t1CHIPS25,t1CHIPS26,t1CHIPS27,t1CHIPS28,t1CHIPS29,t1CHIPS30,t1CHIPS31,t1CHIPS32,t1CHIPS33,t1Elevation1,t1Elevation2,t1Guilt,t1Elevation4,t1Elevation5,t1Indebted,t1Elevation7,t1Elevation8,t1Elevation9,t1Elevation10,t1Empowerment1,t1Empowerment2,t1Empowerment3,t1Empowerment4,t1Empowerment5,t1Empowerment6,t1Empowerment7,t1Empowerment8,t1Empowerment9,t1Empowerment10,t1Empowerment11,t1Empowerment12,t1GQ_state1,t1GQ_state2,t1GQ_state3,t1GQ_state4,t1GQ_state5,t1GQ_state6,t1GQ_trait1,t1GQ_trait2,t1GQ_trait3,t1GQ_trait4,t1GQ_trait5,t1GQ_trait6,t1Humility1,t1Humility2,t1Humility3,t1Humility4,t1Humility5,t1Humility6,t1Intended_effort1,t1Intended_effort2,t1JPS1,t1JPS2,t1JPS3,t1JPS4,t1JPS5,t1JPS6,t1JPS7,t1JPS8,t1JPS9,t1NA1,t1NA2,t1NA3,t1NA4,t1NA5,t1NA6,t1NA7,t1NA8,t1NA9,t1NA10,t1OCB1,t1OCB2,t1OCB3,t1OCB4,t1OJS1,t1OJS2,t1OJS3,t1SHS1,t1SHS2,t1SHS3,t1SHS4,t1SWL1,t1SWL2,t1SWL3,t1SWL4,t1SWL5,t1Motiv_eff_control1,t1Motiv_eff_work1,t1Motiv_eff_work2,t1Motiv_eff_work3,t1Motiv_eff_work4,t1Motiv_eff_control2,t1Motiv_eff_control3,t1Motiv_eff_control4,t1Motiv_eff_health1,t1Motiv_eff_health2,t1Motiv_eff_health3,t1Motiv_eff_health4,t1Motiv_eff_kind1,t1Motiv_eff_kind2,t1Motiv_eff_kind3,t1Motiv_eff_kind4,t1Motiv_eff1,t1Motiv_eff2,t1Motiv_eff3,t1Motiv_eff4,t1Imotiv,t1StateAffect,t1StateSatis,t1weekly_affect,t1weekly_satis,t1Trigger_grat_kind,t1Trigger_control,t1Trigger_grat_health,t1Trigger_grat_work,complete
"4,080",200,Condition 4,Kindness,"Paris, Madrid",2/3/14 8:29,4/16/14 10:34,"103,804",44,LOréal,Troisième cycle,4,Lun de mes parents ou les deux ont un diplôme universitaire,3,Siège social,0,Femme,0,6,5,7,6,5,4,6,1,6,2,5,5,5,3,5,3,4,5,4,4,4,4,5,2,4,2,3,3,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,2,1,6,6,3,5,6,6,7,7,7,7,6,6,6,6,5,6,6,6,6,6,6,7,5,5,6,5,4,6,2,5,,4,7,7,7,1,7,4,5,7,5,5,5,5,4,3,3,4,2,1,1,1,1,1,5,1,1,1,6,5,5,6,6,1,6,5,4,3,3,6,7,6,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,4,5,-2,3,"Mon aimé,

Nos discussions récentes sur notre vision de lavenir ont été formidables et tu mas montré combien tu maimais et la solidité de notre couple. Par tes mots, tes attitudes, ta volonté de maider à prendre une décision sans décider à ma place me conforte dans lamour que je te porte et qui nous unit. Le souvenir de ce moment déchange me donne confiance pour lavenir et notre capacité à faire face à dautres situations.
Merci.",,,,1
"4,081",200,Condition 4,Kindness,"Paris, Madrid",2/3/14 14:19,2/24/14 15:01,"30,281",41,LOréal,Troisième cycle,4,Lun de mes parents ou les deux ont suivi des études supérieurs (post bac),2,Autres,2,Homme,1,7,5,7,6,7,3,7,1,7,6,,,,,,,,,,,,,,,,,,,2,0,1,0,2,0,1,1,0,3,0,0,1,0,0,0,0,0,0,,0,1,2,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,6,6,7,7,5,7,7,7,6,6,5,7,,,,,,,5,4,6,2,2,,,,,,,,,,6,6,6,6,6,5,4,4,4,,,,,,,,,,,6,6,5,6,6,2,6,7,6,6,7,7,7,7,7,6,,,,,,,,,,,,,6,6,5,5,6,6,5,5,5.5,,,10,8,,,,,0
"4,082",195,Condition 3,Control,"Paris, Madrid",2/3/14 14:47,3/21/14 17:14,"66,387",32,LOréal,Études supérieures,3,Lun de mes parents ou les deux ont un diplôme universitaire,3,Siège social,0,Femme,0,6,5,3,5,5,5,5,4,4,3,4,3,4,2,4,5,4,2,4,4,3,4,4,3,3,3,3,4,2,2,2,0,0,2,0,2,3,2,0,0,0,2,0,0,2,0,2,2,0,2,0,3,2,0,0,0,0,0,0,0,2,5,3,1,4,4,4,5,6,4,4,7,4,5,3,7,4,5,4,6,6,5,3,4,4,7,5,7,7,5,3,6,6,6,,1,4,7,7,7,7,4,6,5,5,6,5,5,6,5,5,5,5,1,2,2,1,2,1,1,1,4,4,5,5,5,4,1,5,4,4,4,4,5,3,5,7,5,6,,,,,6,5,5,,,,,,,,,6,6,5,5,5.5,0,3,0,-1,,"- Recrutement de 2 collaborateurs en CDI + planning dintégration
- 6 Entretiens collabroateurs
- 5 entretiens de recrutement
- 2 interventions en tournées commerciales poru rpésenter un projet. 
- Inscriptions de collaborateurs au séminaire de formation pour le suivi du plan 2014
- Quelques heures de travail sur les dossiers juridiques
- un réunion de service
- Une réunion projet
- Organisation de la visite dun site pour 4 étudiants
- Suivi de lavancée dune présentation RH avec mon apprenti
- Gestion de mail",,,1
"4,083",200,Condition 4,Kindness,"Paris, Madrid",2/3/14 15:14,3/18/14 7:46,"61,471",57,LOREAL,Université,2,Lun de mes parents ou les deux ont suivi des études supérieurs (post bac),2,Autres,2,Femme,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,1,1,1,1,0,0,1,0,0,0,0,2,1,2,,1,1,1,1,1,1,1,1,1,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,6,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"4,084",193,Condition 1,Health,"Paris, Madrid",2/3/14 16:04,4/15/14 16:47,"102,282",28,LOréal,Troisième cycle,4,Aucun de mes parents na n’a eu son baccalauréat,0,Siège social,0,Femme,0,1,1,7,6,7,7,7,1,7,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,4,2,4,4,2,2,3,0,1,1,0,2,0,0,0,0,3,1,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,7,,,7,7,7,7,7,4,7,5,5,4,7,7,7,4,7,4,7,2,7,7,7,7,7,4,4,,1,2,7,7,3,7,5,5,5,4,4,6,6,6,5,4,4,5,1,1,1,1,1,1,1,1,1,7,7,7,7,5,1,7,7,4,7,6,6,7,6,6,3,,,,,,,,,6,6,4,4,,,,,6,6,4,4,5,10,10,10,10,,,,,0
"4,085",194,Condition 2,Work,"Paris, Madrid",2/3/14 16:16,2/18/14 16:59,"21,642",29,loreal,Études supérieures,3,Aucun de mes parents na n’a eu son baccalauréat,0,Siège social,0,Homme,1,7,2,6,,7,2,7,2,2,1,,,,,,,,,,,,,,,,,,,2,2,2,0,0,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,2,,,,,,,,,,,6,7,6,7,7,7,7,6,7,7,7,7,,,,,,,4,3,5,3,2,,,,,,,,,,6,4,6,6,5,5,5,5,5,,,,,,,,,,,7,7,7,7,7,2,7,6,7,6,5,5,6,6,6,5,,5,5,6,6,,,,,,,,,,,,5,5,6,6,5.5,,,3,2,,,,,0
"4,086",194,Condition 2,Work,"Paris, Madrid",2/3/14 17:12,2/27/14 18:16,"34,624",41,LOREAL,Études supérieures,3,Aucun de mes parents na n’a eu son baccalauréat,0,Siège social,0,Femme,0,4,1,7,2,5,7,6,1,5,3,4,2,4,5,3,5,5,5,4,5,5,5,4,3,4,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,3,3,1,5,3,3,3,7,7,7,4,7,5,5,5,7,6,5,4,3,3,5,5,7,5,4,3,3,3,3,,7,7,7,7,7,1,2,2,7,5,7,7,7,2,5,5,5,1,1,1,1,1,1,1,1,2,1,7,7,7,7,7,1,5,4,4,5,4,3,3,5,2,1,,6,6,6,6,,,,,,,,,,,,6,6,6,6,6,5,-5,5,-3,,,,,0
"4,120",195,Condition 3,Control,"Paris, Madrid",2/4/14 21:42,4/18/14 10:11,"104,429",35,LOreal,Troisième cycle,4,Lun de mes parents ou les deux ont un diplôme universitaire,3,Siège social,0,Femme,0,2,1,7,2,5,7,5,1,7,5,4,5,4,5,4,5,3,5,2,5,4,5,4,2,4,4,4,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,6,1,1,3,7,7,7,7,7,7,6,6,7,6,5,6,4,4,6,4,4,7,4,3,4,3,1,,2,3,7,2,2,6,5,5,6,3,7,7,7,6,7,4,5,1,1,1,1,1,1,1,1,1,1,7,6,7,7,6,1,6,6,6,5,7,6,6,5,6,3,6,,,,,7,5,6,,,,,,,,,6,7,5,6,6,0,4,-1,4,,"- jai défini mes objectifs professionnels 2014
- jai commencé à me positionner en manager avec ma future équipe
- jai pris une nouvelle posture en lien avec mon futur poste
- jai préparé lorganisation de lanniversaire de mon fils et des vacances au ski
- jai envoyé des photos/nouvelles de la famille à mes proches",,,1
"4,124",193,Condition 1,Health,"Paris, Madrid",2/5/14 15:39,3/4/14 16:10,"38,910",27,GMG - LOréal,Études supérieures,3,Lun de mes parents ou les deux ont un diplôme universitaire,3,Autres,2,Homme,1,6,2,7,7,6,5,7,5,3,5,4,4,5,4,5,1,2,2,4,2,4,3,2,2,5,1,3,3,3,4,0,1,0,3,1,4,0,0,3,1,3,1,0,0,0,3,0,0,0,4,3,1,3,0,0,1,0,0,0,0,1,4,3,1,5,5,3,6,5,4,5,7,5,3,6,7,3,2,5,7,5,3,5,5,4,6,4,3,7,5,4,6,3,3,,7,5,6,7,7,7,7,6,6,3,5,5,5,6,3,5,3,5,1,2,3,3,3,3,2,4,5,7,6,6,6,5,1,6,6,5,6,5,3,5,5,7,3,,,,,,,,,2,2,2,2,,,,,2,2,2,2,2,2,2,-3,2,,,"Cher Guillaume,

Depuis 2 ans, tu essais bien malgré moi de reprendre une activité sportive. 

Tu mas convaincu de minscrire à un club de natation, mais surtout à reprendre le footing, la course à pied. La natation est terminée, mais le footing a bien pris, contre toute attente !

Depuis, tu le sais, je cours une fois tous les 15 jours en moyenne. Ce qui me permet de me vider lesprit et de me dépenser physiquement.  Moi qui aime tant les bons repas, je peux en profiter encore davantage...

Je participe dailleurs a plusieurs courses annuelles : les 20 kms de paris , et autres semi-marathon et jen retire une grande fierté 
Je ten remercie, et au plaisir de courrir avec toi ce week-end !",,1
"4,126",200,Condition 4,Kindness,"Paris, Madrid",2/5/14 18:58,2/27/14 19:00,"31,682",35,loreal,Troisième cycle,4,Lun de mes parents ou les deux ont suivi des études universitaires,4,Usine,1,Homme,1,7,3,7,7,7,5,7,2,6,2,5,5,3,5,1,3,3,4,4,5,4,3,4,4,5,5,4,5,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,0,1,3,1,0,0,0,0,0,0,0,0,3,6,6,4,6,4,7,7,7,7,7,7,5,6,7,7,5,6,7,7,5,6,7,7,6,7,7,7,7,6,5,7,6,5,,1,7,7,5,6,4,7,7,5,3,6,6,7,7,6,6,6,4,1,1,1,1,1,1,1,3,5,7,6,4,2,7,1,7,6,5,7,7,6,5,6,6,2,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,5,5,5,5,,,,,0
