"","ID","CODEPER","REL","PCR24_01","PCR24_02","PCR24_03","PCR24_04","PCR24_05","PCR24_06","PCR24_07","PCR24_08","PCR24_09","PCR24_10","PCR24_11","PCR24_12","PCR24_13","PCR24_14","PCR24_15","PCR24_16","PCR24_17","PCR24_18","PCR24_19","PCR24_20","PCR24_21","SITE"
"1",10,24,0,5,4,5,3,5,3,4,4,3,2,4,3,2,5,3,2,1,4,5,3,3,0
"2",14,24,0,4,3,2,2,4,2,2,3,2,3,4,2,4,3,3,2,3,2,2,3,2,0
"3",26,24,0,3,4,3,2,4,3,4,3,3,3,3,2,4,3,2,2,2,1,2,3,3,0
"4",32,24,0,3,3,3,3,3,3,2,3,3,3,3,3,4,3,3,2,2,2,2,2,2,0
"5",52,24,0,5,5,4,3,4,2,5,5,5,4,4,3,5,5,5,4,4,3,5,4,4,0
"6",56,24,0,4,3,2,3,3,1,2,2,2,3,4,2,4,3,5,3,2,2,2,2,2,0
"7",61,24,0,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,5,5,5,5,5,4,0
"8",63,24,0,4,4,3,3,4,3,3,3,2,2,5,3,4,4,3,2,3,2,3,2,3,0
"9",64,24,0,5,5,4,4,4,4,5,4,4,4,4,4,5,4,5,3,3,2,3,4,3,0
"10",70,24,0,3,4,3,2,3,3,3,2,3,2,2,2,3,3,2,2,2,2,3,2,3,0
"11",71,24,0,5,4,3,4,5,4,3,4,5,3,5,4,4,5,3,2,3,2,4,3,3,0
"12",97,24,0,1,2,5,3,2,1,1,1,3,2,1,3,2,3,1,1,2,2,3,3,2,0
"13",100,24,0,2,2,2,2,2,2,2,2,1,2,3,1,3,2,1,2,2,1,2,2,2,0
"14",115,24,0,4,4,4,2,4,3,2,4,3,3,3,3,4,3,3,3,3,2,2,4,3,0
"15",122,24,0,5,4,3,5,3,5,3,5,4,3,3,3,3,3,3,2,3,2,3,3,3,0
"16",134,24,0,4,5,4,3,3,4,4,4,5,5,4,5,4,4,4,3,3,2,2,2,3,0
"17",152,24,0,3,2,2,3,2,4,2,2,2,2,2,2,2,2,2,2,3,1,2,3,3,0
"18",178,24,0,4,5,5,2,5,5,3,5,2,3,5,3,4,4,5,5,4,2,3,4,3,0
"19",179,24,0,3,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,0
"20",182,24,0,5,3,5,3,5,2,4,5,3,3,5,2,4,5,2,3,5,2,3,2,3,0
"21",184,24,0,5,4,3,2,5,3,2,4,2,3,3,2,3,2,4,2,3,2,2,2,3,0
"22",196,24,0,5,5,4,5,5,3,3,5,3,4,4,2,4,4,5,2,4,2,4,5,4,0
"23",206,24,0,4,3,3,2,4,2,3,4,2,2,3,2,3,2,3,2,2,2,2,2,2,0
"24",218,24,0,4,3,3,2,3,2,2,2,2,3,3,2,3,2,3,2,3,2,4,3,2,0
"25",227,24,0,4,4,5,2,3,4,5,5,5,3,4,5,4,2,4,2,2,4,4,3,3,0
"26",228,24,0,4,4,4,4,4,5,4,4,2,3,4,2,4,4,3,2,4,2,3,4,3,0
"27",244,24,0,5,2,3,5,5,4,2,5,4,3,4,4,4,4,4,2,5,3,5,5,5,0
"28",265,24,0,4,3,2,2,3,3,3,3,2,2,3,2,4,3,3,2,2,2,2,2,2,0
"29",272,24,0,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,3,4,3,3,3,4,0
"30",273,24,0,4,3,5,2,4,2,2,3,3,4,4,2,3,3,4,2,3,2,3,3,3,0
"31",274,24,0,4,3,2,2,3,2,2,3,2,3,3,2,2,3,2,2,3,3,3,2,2,0
"32",283,24,0,4,4,4,5,4,5,4,4,3,3,4,3,3,3,3,2,3,2,2,3,4,0
"33",288,24,0,4,3,2,2,5,4,2,2,3,2,3,3,3,2,3,2,2,2,2,2,2,0
"34",293,24,0,4,4,3,2,3,3,3,2,3,2,3,3,3,5,4,2,2,2,2,2,3,0
"35",301,24,0,5,5,5,4,4,3,5,4,3,4,5,4,5,5,4,5,4,4,5,5,5,0
"36",307,24,0,4,5,5,5,5,5,5,4,4,4,3,4,5,3,5,4,4,1,3,3,5,0
"37",311,24,0,5,4,3,1,3,2,2,4,2,2,4,2,4,2,2,2,2,1,2,2,2,0
"38",318,24,0,2,3,2,2,3,2,2,2,3,2,3,2,3,2,2,2,2,2,3,2,2,0
"39",344,24,0,5,3,3,3,4,3,4,3,3,3,3,2,3,3,3,2,3,2,2,3,3,0
"40",345,24,0,3,5,3,3,4,5,3,2,3,3,3,4,5,2,4,2,2,1,2,3,3,0
"41",347,24,0,5,4,1,2,4,4,1,4,3,5,3,3,4,3,5,3,3,3,3,2,2,0
"42",372,24,0,4,3,5,1,5,2,5,4,5,2,5,3,5,5,5,2,4,5,2,5,1,0
"43",380,24,0,5,5,3,2,5,4,3,3,3,3,4,3,4,3,5,3,3,2,3,2,2,0
"44",412,24,0,4,3,3,3,4,3,3,3,3,3,3,2,3,4,3,2,2,3,3,4,3,0
"45",413,24,0,3,2,5,3,3,2,2,3,2,2,3,1,3,3,3,2,2,1,3,2,3,0
"46",419,24,0,4,3,2,2,4,4,1,3,2,2,4,3,3,3,3,2,2,2,3,2,2,0
"47",427,24,0,5,5,5,3,5,4,3,5,5,5,5,5,4,5,5,4,4,4,4,4,4,0
"48",435,24,0,3,4,3,2,3,3,2,2,2,3,4,3,3,2,4,2,3,2,2,2,2,0
